bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,plot_ID
130,136,40,7422,297,-40,337,46,184,223,31,1540,165,93,14,448,323,372,420,47_139_79
118,129,39,7343,279,-50,329,34,171,209,20,1653,176,103,13,477,349,397,447,47_139_111
139,135,39,7568,307,-32,339,54,195,234,38,1480,160,92,14,432,310,347,407,47_139_107
141,134,39,7577,308,-31,339,55,196,236,40,1473,159,92,14,429,309,345,404,47_139_108
142,135,39,7597,310,-30,340,57,198,237,41,1454,157,91,14,423,304,339,400,47_139_98
118,131,39,7493,283,-52,335,194,73,211,18,1187,121,85,12,341,259,332,267,47_163_56
130,136,40,7443,297,-39,336,46,185,223,31,1545,166,94,14,450,324,371,421,47_139_103
130,134,40,7445,296,-39,335,46,185,223,31,1559,167,96,14,454,327,372,426,47_139_95
98,123,38,7089,253,-66,319,169,20,186,3,1369,135,97,11,384,300,381,302,47_19_68
128,133,39,7515,294,-43,337,43,183,222,27,1531,164,93,14,441,318,369,417,47_107_18
126,132,39,7493,292,-44,336,41,182,220,26,1551,166,95,13,446,324,372,421,47_123_50
112,130,39,7305,274,-56,330,186,69,203,15,1207,124,78,13,342,256,337,280,47_59_78
110,127,38,7332,270,-57,327,184,66,201,12,1249,127,88,11,355,273,348,283,47_19_70
114,130,39,7296,274,-55,329,187,70,204,16,1241,126,87,11,352,270,345,282,47_19_48
112,131,39,7420,276,-56,332,187,30,205,13,1207,120,87,11,344,265,333,268,47_91_8
121,132,39,7510,287,-49,336,197,76,215,21,1173,121,80,12,337,254,327,270,47_163_11
132,135,40,7425,296,-40,336,48,188,225,33,1480,157,87,14,425,303,372,401,47_123_19
123,135,40,7325,285,-48,333,39,177,214,25,1567,166,95,13,452,328,386,425,47_123_32
142,138,39,7701,313,-33,346,56,199,239,40,1429,155,87,15,415,295,338,394,47_107_3
109,130,39,7167,268,-58,326,181,67,198,13,1286,127,92,11,360,282,354,291,47_171_9
109,129,39,7247,269,-58,327,182,66,200,12,1242,125,83,12,349,267,344,286,47_59_6
136,135,40,7509,303,-34,337,51,191,230,36,1510,162,94,14,441,316,356,415,47_139_46
137,136,40,7549,305,-34,339,52,193,232,37,1494,161,92,14,435,313,354,409,47_139_43
115,131,39,7445,279,-54,333,191,71,208,16,1194,121,87,11,342,262,332,268,47_163_24
90,117,37,6997,241,-70,311,161,13,177,-3,1455,140,102,10,405,318,403,319,47_19_23
137,136,39,7662,308,-35,343,215,89,234,36,1102,122,65,16,322,223,315,255,47_29_10
105,126,38,7230,262,-62,324,22,158,194,8,1707,177,108,11,478,365,420,452,47_123_16
95,118,37,7161,247,-67,314,13,148,184,-1,1834,189,120,10,508,399,450,479,47_123_23
100,121,38,7204,255,-63,318,18,153,190,4,1802,187,116,11,505,389,439,476,47_123_37
136,138,40,7526,306,-36,342,52,192,231,37,1479,160,89,14,432,308,355,406,47_139_17
133,137,40,7467,301,-37,338,49,188,227,34,1517,163,92,14,442,317,365,415,47_139_30
134,137,40,7453,302,-36,338,50,189,227,35,1513,163,92,14,442,317,362,414,47_139_34
127,133,39,7390,292,-41,333,44,181,220,29,1579,169,97,14,460,331,378,431,47_139_36
120,132,39,7508,285,-50,335,196,75,214,20,1182,121,83,12,339,257,330,268,47_163_47
67,97,33,6981,206,-86,292,138,-26,154,-26,1708,159,116,10,473,367,468,367,47_19_27
123,136,40,7439,288,-49,337,198,78,216,24,1169,126,74,14,342,244,334,268,47_171_15
107,126,38,7323,267,-59,326,181,64,198,9,1253,126,91,11,357,276,348,280,47_163_5
